release_year,duration
1980,122.4
1981,109.7
1982,114.8
1983,113.9
1984,115.1
1985,109.1
1986,107.8
1987,89.8
1988,101.2
1989,113.5
1990,101.1
1991,84.9
1992,103.7
1993,116.7
1994,124.9
1995,116.9
1996,119.9
1997,116.7
1998,102.0
1999,122.0
2000,112.2
2001,116.2
2002,120.7
2003,116.8
2004,119.2
2005,112.1
2006,111.6
2007,110.6
2008,106.4
2009,108.4
2010,103.4
2011,102.8
2012,100.1
2013,98.1
2014,99.5
2015,99.0
2016,94.3
2017,94.6
2018,95.8
2019,90.6
2020,103.5
